
Subject,Item,Move,1,2,3,Configuration,s,m,l,x,,,,,
pp1002,1,Target,,,,,2,2,2,2,,,,,
pp1002,1,0,,,,,1,1,1,2,,,,,
pp1002,1,1,,,s,,3,1,1,2,,,,,
pp1002,1,2,,s,,,2,1,1,2,,,,,
pp1002,1,3,,,m,,2,3,1,2,,,,,
pp1002,1,4,,,s,,3,3,1,2,,,,,
pp1002,1,5,,l,,,3,3,2,2,,,,,
pp1002,1,6,s,,,,1,3,2,2,,,,,
pp1002,1,7,,m,,,1,2,2,2,,,,,
pp1002,1,8,,s,,,2,2,2,2,,,,,

pp1002,2,Target,,,,,2,3,1,1,,,,,
pp1002,2,0,,,,,3,1,2,3,,,,,
pp1002,2,1,,m,,,3,2,2,3,,,,,
pp1002,2,2,,s,,,2,2,2,3,,,,,
pp1002,2,3,x,,,,2,2,2,1
pp1002,2,4,s,,,,1,2,2,1
pp1002,2,5,,,m,,1,3,2,1
pp1002,2,6,,,s,,3,3,2,1
pp1002,2,7,l,,,,3,3,1,1
pp1002,2,8,,s,,,2,3,1,1

pp1002,3,Target,,,,,1,1,1,1
pp1002,3,0,,,,,2,2,2,3
pp1002,3,1,x,,,,2,2,2,1
pp1002,3,2,s,,,,1,2,2,1
pp1002,3,3,,,m,,1,3,2,1
pp1002,3,4,,,s,,3,3,2,1
pp1002,3,5,l,,,,3,3,1,1
pp1002,3,6,,s,,,2,3,1,1
pp1002,3,7,m,,,,2,1,1,1
pp1002,3,8,s,,,,1,1,1,1

pp1002,4,Target,,,,,3,3,2,1
pp1002,4,0,,,,,2,1,3,3
pp1002,4,1,s,,,,1,1,3,3
pp1002,4,2,,l,,,1,1,2,3
pp1002,4,3,,,s,,3,1,2,3
pp1002,4,4,,m,,,3,2,2,3
pp1002,4,5,,s,,,2,2,2,3
pp1002,4,6,x,,,,2,2,2,1
pp1002,4,7,s,,,,1,2,2,1
pp1002,4,8,,,m,,1,3,2,1
pp1002,4,9,,,s,,3,3,2,1

pp1002,5,Target,,,,,2,2,2,2
pp1002,5,0,,,,,2,2,1,3
pp1002,5,1,,,s,,3,2,1,3
pp1002,5,2,m,,,,3,1,1,3
pp1002,5,3,s,,,,1,1,1,3
pp1002,5,4,,x,,,1,1,1,2
pp1002,5,5,,,s,,3,1,1,2
pp1002,5,6,,s,,,2,1,1,2
pp1002,5,7,,,m,,2,3,1,2
pp1002,5,8,,,s,,3,3,1,2
pp1002,5,9,,l,,,3,3,2,2
pp1002,5,10,s,,,,1,3,2,2
pp1002,5,11,,m,,,1,2,2,2
pp1002,5,12,,s,,,2,2,2,2

pp1002,6,Target,,,,,1,3,2,2
pp1002,6,0,,,,,1,2,3,3
pp1002,6,1,,s,,,2,2,3,3
pp1002,6,2,l,,,,2,2,1,3
pp1002,6,3,,,s,,3,2,1,3
pp1002,6,4,m,,,,3,1,1,3
pp1002,6,5,s,,,,1,1,1,3
pp1002,6,6,,x,,,1,1,1,2
pp1002,6,7,,s,,,2,1,1,2
pp1002,6,8,,,m,,2,3,1,2
pp1002,6,9,,,s,,3,3,1,2
pp1002,6,10,,l,,,3,3,2,2
pp1002,6,11,s,,,,1,3,2,2

pp1002,7,Target,,,,,2,2,2,2
pp1002,7,0,,,,,2,2,3,3
pp1002,7,1,l,,,,2,2,1,3
pp1002,7,2,,,s,,3,2,1,3
pp1002,7,3,m,,,,3,1,1,3
pp1002,7,4,s,,,,1,1,1,3
pp1002,7,5,,x,,,1,1,1,2
pp1002,7,6,,s,,,2,1,1,2
pp1002,7,7,,,m,,2,3,1,2
pp1002,7,8,,,s,,3,3,1,2
pp1002,7,9,,l,,,3,3,2,2
pp1002,7,10,s,,,,1,3,2,2
pp1002,7,11,,m,,,1,2,2,2
pp1002,7,12,,s,,,2,2,2,2

pp1002,8,Target,,,,,3,2,1,1
pp1002,8,0,,,,,3,1,2,2
pp1002,8,1,s,,,,1,1,2,2
pp1002,8,2,,,l,,1,1,3,2
pp1002,8,3,,s,,,2,1,3,2
pp1002,8,4,,,m,,2,3,3,2
pp1002,8,5,,,s,,3,3,3,2
pp1002,8,6,x,,,,3,3,3,1
pp1002,8,7,s,,,,1,3,3,1
pp1002,8,8,,m,,,1,2,3,1
pp1002,8,9,,s,,,2,2,3,1
pp1002,8,10,l,,,,2,2,1,1
pp1002,8,11,,,s,,3,2,1,1

pp1002,9,Target,,,,,1,1,1,1
pp1002,9,0,,,,,1,1,3,3
pp1002,9,1,,l,,,1,1,2,3
pp1002,9,2,,,s,,3,1,2,3
pp1002,9,3,,m,,,3,2,2,3
pp1002,9,4,,s,,,2,2,2,3
pp1002,9,5,x,,,,2,2,2,1
pp1002,9,6,s,,,,1,2,2,1
pp1002,9,7,,,m,,1,3,2,1
pp1002,9,8,,,s,,3,3,2,1
pp1002,9,9,l,,,,3,3,1,1
pp1002,9,10,,s,,,2,3,1,1
pp1002,9,11,m,,,,2,1,1,1
pp1002,9,12,s,,,,1,1,1,1

pp1002,10,Target,,,,,3,2,1,1
pp1002,10,0,,,,,3,2,2,2
pp1002,10,1,m,,,,3,1,2,2
pp1002,10,2,s,,,,1,1,2,2
pp1002,10,3,,,l,,1,1,3,2
pp1002,10,4,,s,,,2,1,3,2
pp1002,10,5,,,m,,2,3,3,2
pp1002,10,6,,,s,,3,3,3,2
pp1002,10,7,x,,,,3,3,3,1
pp1002,10,8,s,,,,1,3,3,1
pp1002,10,9,,m,,,1,2,3,1
pp1002,10,10,,s,,,2,2,3,1
pp1002,10,11,l,,,,2,2,1,1
pp1002,10,12,,,s,,3,2,1,1

pp1002,11,Target,,,,,1,1,1,1
pp1002,11,0,,,,,1,1,2,2
pp1002,11,1,,,m,,1,3,2,2
pp1002,11,2,,,s,,3,3,2,2
pp1002,11,3,l,,,,3,3,1,2
pp1002,11,4,,,s,,3,3,1,2
pp1002,11,5,x,,,,3,3,1,1
pp1002,11,6,s,,,,1,3,1,1
pp1002,11,7,,m,,,1,2,1,1
pp1002,11,8,,s,,,2,2,1,1
pp1002,11,9,l,,,,2,2,1,1
pp1002,11,10,,,s,,3,2,1,1
pp1002,11,11,m,,,,3,1,1,1
pp1002,11,12,s,,,,1,1,1,1

pp1002,12,Target,,,,,2,3,1,1
pp1002,12,0,,,,,3,3,3,3
pp1002,12,1,,,s,,3,3,3,3
pp1002,12,2,,m,,,3,2,3,3
pp1002,12,3,,s,,,2,2,3,3
pp1002,12,4,,,s,,3,2,3,3
pp1002,12,5,m,,,,3,1,3,3
pp1002,12,6,s,,,,1,1,3,3
pp1002,12,7,,l,,,1,1,2,3
pp1002,12,8,,,s,,3,1,2,3
pp1002,12,9,,m,,,3,2,2,3
pp1002,12,10,,s,,,2,2,2,3
pp1002,12,11,x,,,,2,2,2,1
pp1002,12,12,s,,,,1,2,2,1
pp1002,12,13,,,m,,1,3,2,1
pp1002,12,14,,,s,,3,3,2,1
pp1002,12,15,l,,,,3,3,1,1
pp1002,12,16,,s,,,2,3,1,1

pp1002,13,Target,,,,,2,2,2,2
pp1002,13,0,,,,,1,2,3,3
pp1002,13,1,,s,,,2,2,3,3
pp1002,13,2,l,,,,2,2,1,3
pp1002,13,3,,,s,,3,2,1,3
pp1002,13,4,m,,,,3,1,1,3
pp1002,13,5,s,,,,1,1,1,3
pp1002,13,6,,x,,,1,1,1,2
pp1002,13,7,,s,,,2,1,1,2
pp1002,13,8,,,m,,2,3,1,2
pp1002,13,9,,,s,,3,3,1,2
pp1002,13,10,,l,,,3,3,2,2
pp1002,13,11,s,,,,1,3,2,2
pp1002,13,12,,m,,,1,2,2,2
pp1002,13,13,,s,,,2,2,2,2

pp1002,14,Target,,,,,3,3,2,1
pp1002,14,0,,,,,2,3,2,2
pp1002,14,1,m,,,,2,1,2,2
pp1002,14,2,s,,,,1,1,2,2
pp1002,14,3,,,l,,1,1,3,2
pp1002,14,4,,s,,,2,1,3,2
pp1002,14,5,,,m,,2,3,3,2
pp1002,14,6,,,s,,3,3,3,2
pp1002,14,7,x,,,,3,3,3,1
pp1002,14,8,s,,,,1,3,3,1
pp1002,14,9,,m,,,1,2,3,1
pp1002,14,10,,s,,,2,2,3,1
pp1002,14,11,l,,,,2,2,1,1
pp1002,14,12,s,,,,1,2,1,1
pp1002,14,13,,,m,,1,3,1,1
pp1002,14,14,,,s,,3,3,1,1
pp1002,14,15,,l,,,3,3,2,1

pp1002,15,Target,,,,,1,1,1,1
pp1002,15,0,,,,,2,1,3,3
pp1002,15,1,s,,,,1,1,3,3
pp1002,15,2,,l,,,1,1,2,3
pp1002,15,3,,,s,,3,1,2,3
pp1002,15,4,,m,,,3,2,2,3
pp1002,15,5,,s,,,2,2,2,3
pp1002,15,6,x,,,,2,2,2,1
pp1002,15,7,s,,,,1,2,2,1
pp1002,15,8,,,m,,1,3,2,1
pp1002,15,9,,,s,,3,3,2,1
pp1002,15,10,l,,,,3,3,1,1
pp1002,15,11,,s,,,2,3,1,1
pp1002,15,12,m,,,,2,1,1,1
pp1002,15,13,s,,,,1,1,1,1

pp1002,16,Target,,,,,3,3,1,2
pp1002,16,0,,,,,1,3,1,1
pp1002,16,1,,m,,,1,2,1,1
pp1002,16,2,,s,,,2,2,1,1
pp1002,16,3,,,l,,2,2,3,1
pp1002,16,4,s,,,,1,2,3,1
pp1002,16,5,,,m,,1,3,3,1
pp1002,16,6,,,s,,3,3,3,1
pp1002,16,7,,x,,,3,3,3,2
pp1002,16,8,s,,,,1,3,3,2
pp1002,16,9,,m,,,1,2,3,2
pp1002,16,10,,s,,,2,2,3,2
pp1002,16,11,l,,,,2,2,1,2
pp1002,16,12,s,,,,1,2,1,2
pp1002,16,13,,,m,,1,3,1,2
pp1002,16,14,,,s,,3,3,1,2

pp1002,17,Target,,,,,1,1,1,1
